"row","count.x","abv","ibu","id","beer","style","brewery_id","ounces","style2","count.y","brewery","city","state","label"
"1",1,0.05,NA,1436,"Pub Beer","American Pale Lager",408,12,NA,409,"10 Barrel Brewing Company","Bend","OR","Pub Beer (10 Barrel Brewing Company)"
"2",2,0.066,NA,2265,"Devil's Cup","American Pale Ale (APA)",177,12,"American Pale Ale (APA)",178,"18th Street Brewery","Gary","IN","Devil's Cup (18th Street Brewery)"
"3",3,0.071,NA,2264,"Rise of the Phoenix","American IPA",177,12,"American IPA",178,"18th Street Brewery","Gary","IN","Rise of the Phoenix (18th Street Brewery)"
"4",4,0.09,NA,2263,"Sinister","American Double / Imperial IPA",177,12,"American Double / Imperial IPA",178,"18th Street Brewery","Gary","IN","Sinister (18th Street Brewery)"
"5",5,0.075,NA,2262,"Sex and Candy","American IPA",177,12,"American IPA",178,"18th Street Brewery","Gary","IN","Sex and Candy (18th Street Brewery)"
"6",6,0.077,NA,2261,"Black Exodus","Oatmeal Stout",177,12,NA,178,"18th Street Brewery","Gary","IN","Black Exodus (18th Street Brewery)"
"7",7,0.045,NA,2260,"Lake Street Express","American Pale Ale (APA)",177,12,"American Pale Ale (APA)",178,"18th Street Brewery","Gary","IN","Lake Street Express (18th Street Brewery)"
"8",8,0.065,NA,2259,"Foreman","American Porter",177,12,NA,178,"18th Street Brewery","Gary","IN","Foreman (18th Street Brewery)"
"9",9,0.055,NA,2258,"Jade","American Pale Ale (APA)",177,12,"American Pale Ale (APA)",178,"18th Street Brewery","Gary","IN","Jade (18th Street Brewery)"
"10",10,0.086,NA,2131,"Cone Crusher","American Double / Imperial IPA",177,12,"American Double / Imperial IPA",178,"18th Street Brewery","Gary","IN","Cone Crusher (18th Street Brewery)"
"11",11,0.072,NA,2099,"Sophomoric Saison","Saison / Farmhouse Ale",177,12,NA,178,"18th Street Brewery","Gary","IN","Sophomoric Saison (18th Street Brewery)"
"12",12,0.073,NA,2098,"Regional Ring Of Fire","Saison / Farmhouse Ale",177,12,NA,178,"18th Street Brewery","Gary","IN","Regional Ring Of Fire (18th Street Brewery)"
"13",13,0.069,NA,2097,"Garce Sel̩","Saison / Farmhouse Ale",177,12,NA,178,"18th Street Brewery","Gary","IN","Garce Sel̩ (18th Street Brewery)"
"14",14,0.085,NA,1980,"Troll Destroyer","Belgian IPA",177,12,NA,178,"18th Street Brewery","Gary","IN","Troll Destroyer (18th Street Brewery)"
"15",15,0.061,60,1979,"Bitter Bitch","American Pale Ale (APA)",177,12,"American Pale Ale (APA)",178,"18th Street Brewery","Gary","IN","Bitter Bitch (18th Street Brewery)"
"16",16,0.06,NA,2318,"Ginja Ninja","Cider",154,12,NA,155,"2 Towns Ciderhouse","Corvallis","OR","Ginja Ninja (2 Towns Ciderhouse)"
"17",17,0.06,NA,2170,"Cherried Away","Cider",154,12,NA,155,"2 Towns Ciderhouse","Corvallis","OR","Cherried Away (2 Towns Ciderhouse)"
"18",18,0.06,NA,2169,"Rhubarbarian","Cider",154,12,NA,155,"2 Towns Ciderhouse","Corvallis","OR","Rhubarbarian (2 Towns Ciderhouse)"
"19",19,0.06,NA,1502,"BrightCider","Cider",154,12,NA,155,"2 Towns Ciderhouse","Corvallis","OR","BrightCider (2 Towns Ciderhouse)"
"20",20,0.0819999999999999,NA,1593,"He Said Baltic-Style Porter","Baltic Porter",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","He Said Baltic-Style Porter (21st Amendment Brewery)"
"21",21,0.0819999999999999,NA,1592,"He Said Belgian-Style Tripel","Tripel",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","He Said Belgian-Style Tripel (21st Amendment Brewery)"
"22",22,0.099,92,1036,"Lower De Boom","American Barleywine",368,8.4,NA,369,"21st Amendment Brewery","San Francisco","CA","Lower De Boom (21st Amendment Brewery)"
"23",23,0.079,45,1024,"Fireside Chat","Winter Warmer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Fireside Chat (21st Amendment Brewery)"
"24",24,0.079,NA,976,"Marooned On Hog Island","American Stout",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Marooned On Hog Island (21st Amendment Brewery)"
"25",25,0.044,42,876,"Bitter American","American Pale Ale (APA)",368,12,"American Pale Ale (APA)",369,"21st Amendment Brewery","San Francisco","CA","Bitter American (21st Amendment Brewery)"
"26",26,0.049,17,802,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Hell or High Watermelon Wheat (2009) (21st Amendment Brewery)"
"27",27,0.049,17,801,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Hell or High Watermelon Wheat (2009) (21st Amendment Brewery)"
"28",28,0.049,17,800,"21st Amendment Watermelon Wheat Beer (2006)","Fruit / Vegetable Beer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","21st Amendment Watermelon Wheat Beer (2006) (21st Amendment Brewery)"
"29",29,0.07,70,799,"21st Amendment IPA (2006)","American IPA",368,12,"American IPA",369,"21st Amendment Brewery","San Francisco","CA","21st Amendment IPA (2006) (21st Amendment Brewery)"
"30",30,0.07,70,797,"Brew Free! or Die IPA (2008)","American IPA",368,12,"American IPA",369,"21st Amendment Brewery","San Francisco","CA","Brew Free! or Die IPA (2008) (21st Amendment Brewery)"
"31",31,0.07,70,796,"Brew Free! or Die IPA (2009)","American IPA",368,12,"American IPA",369,"21st Amendment Brewery","San Francisco","CA","Brew Free! or Die IPA (2009) (21st Amendment Brewery)"
"32",32,0.085,52,531,"Special Edition: Allies Win The War!","English Strong Ale",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Special Edition: Allies Win The War! (21st Amendment Brewery)"
"33",33,0.0969999999999999,94,432,"Hop Crisis","American Double / Imperial IPA",368,12,"American Double / Imperial IPA",369,"21st Amendment Brewery","San Francisco","CA","Hop Crisis (21st Amendment Brewery)"
"34",34,0.044,42,353,"Bitter American (2011)","American Pale Ale (APA)",368,12,"American Pale Ale (APA)",369,"21st Amendment Brewery","San Francisco","CA","Bitter American (2011) (21st Amendment Brewery)"
"35",35,0.079,45,321,"Fireside Chat (2010)","Winter Warmer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Fireside Chat (2010) (21st Amendment Brewery)"
"36",36,0.068,65,173,"Back in Black","American Black Ale",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Back in Black (21st Amendment Brewery)"
"37",37,0.083,35,11,"Monk's Blood","Belgian Dark Ale",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Monk's Blood (21st Amendment Brewery)"
"38",38,0.07,65,10,"Brew Free! or Die IPA","American IPA",368,12,"American IPA",369,"21st Amendment Brewery","San Francisco","CA","Brew Free! or Die IPA (21st Amendment Brewery)"
"39",39,0.049,17,9,"Hell or High Watermelon Wheat","Fruit / Vegetable Beer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Hell or High Watermelon Wheat (21st Amendment Brewery)"
"40",40,0.07,82,2519,"Bimini Twist","American IPA",67,12,"American IPA",68,"3 Daughters Brewing","St Petersburg","FL","Bimini Twist (3 Daughters Brewing)"
"41",41,0.05,NA,2518,"Beach Blonde","American Blonde Ale",67,12,"American Blonde Ale",68,"3 Daughters Brewing","St Petersburg","FL","Beach Blonde (3 Daughters Brewing)"
"42",42,0.059,NA,2517,"Rod Bender Red","American Amber / Red Ale",67,12,"American Amber / Red Ale",68,"3 Daughters Brewing","St Petersburg","FL","Rod Bender Red (3 Daughters Brewing)"
"43",43,0.035,11,2545,"Passion Fruit Prussia","Berliner Weissbier",60,12,NA,61,"4 Hands Brewing Company","Saint Louis","MO","Passion Fruit Prussia (4 Hands Brewing Company)"
"44",44,0.045,18,2544,"Send Help","American Blonde Ale",60,12,"American Blonde Ale",61,"4 Hands Brewing Company","Saint Louis","MO","Send Help (4 Hands Brewing Company)"
"45",45,0.055,NA,2324,"Cast Iron Oatmeal Brown","American Brown Ale",60,12,NA,61,"4 Hands Brewing Company","Saint Louis","MO","Cast Iron Oatmeal Brown (4 Hands Brewing Company)"
"46",46,0.06,NA,2288,"Reprise Centennial Red","American Amber / Red Ale",60,12,"American Amber / Red Ale",61,"4 Hands Brewing Company","Saint Louis","MO","Reprise Centennial Red (4 Hands Brewing Company)"
"47",47,0.055,NA,2287,"Alter Ego","American Black Ale",60,12,NA,61,"4 Hands Brewing Company","Saint Louis","MO","Alter Ego (4 Hands Brewing Company)"
"48",48,0.065,NA,2286,"Divided Sky","American IPA",60,12,"American IPA",61,"4 Hands Brewing Company","Saint Louis","MO","Divided Sky (4 Hands Brewing Company)"
"49",49,0.065,NA,2285,"Resurrected","American IPA",60,12,"American IPA",61,"4 Hands Brewing Company","Saint Louis","MO","Resurrected (4 Hands Brewing Company)"
"50",50,0.05,28,1870,"Contact High","American Pale Wheat Ale",60,12,"American Pale Wheat Ale",61,"4 Hands Brewing Company","Saint Louis","MO","Contact High (4 Hands Brewing Company)"
"51",51,0.065,NA,2603,"Galaxyfest","American IPA",27,16,"American IPA",28,"450 North Brewing Company","Columbus","IN","Galaxyfest (450 North Brewing Company)"
"52",52,0.05,45,2602,"Citrafest","American IPA",27,16,"American IPA",28,"450 North Brewing Company","Columbus","IN","Citrafest (450 North Brewing Company)"
"53",53,0.09,NA,2220,"Barn Yeti","Belgian Strong Dark Ale",27,16,NA,28,"450 North Brewing Company","Columbus","IN","Barn Yeti (450 North Brewing Company)"
"54",54,0.069,65,2219,"Scarecrow","American IPA",27,16,"American IPA",28,"450 North Brewing Company","Columbus","IN","Scarecrow (450 North Brewing Company)"
